index,chinese_idiom,pinyin
482,假手于人,jia3 shou3 yu2 ren2
483,做小伏低,zuo4 xiao3 fu2 di1
484,做贼心虚,zuo4 zei2 xin1 xu1
485,停云落月,ting2 yun2 luo4 yue4
486,偷天换日,tou1 tian1 huan4 ri4
487,偷梁换柱,tou1 liang2 huan4 zhu4
488,偷鸡摸狗,tou1 ji1 mo1 gou3
489,傲然屹立,ao4 ran2 yi4 li4
490,傲睨万物,ao4 ni4 wan4 wu4
491,傲雪欺霜,ao4 xue3 qi1 shuang1
492,僧多粥少,seng1 duo1 zhou1 shao3
493,儿女情长,er2 nv3 qing2 chang2
494,兄友弟恭,xiong1 you3 di4 gong1
495,兄弟阋墙,xiong1 di4 xi4 qiang2
496,充耳不闻,chong1 er3 bu4 wen2
497,先人后己,xian1 ren2 hou4 ji3
498,先声夺人,xian1 sheng1 duo2 ren2
499,先忧后乐,xian1 you1 hou4 le4
500,先意承志,xian1 yi4 cheng2 zhi4
501,先斩后奏,xian1 zhan3 hou4 zou4
502,先睹为快,xian1 du3 wei2 kuai4
503,先知先觉,xian1 zhi1 xian1 jue2
504,先礼后兵,xian1 li3 hou4 bing1
505,先苦后甜,xian1 ku3 hou4 tian2
506,光可鉴人,guang1 ke3 jian4 ren2
507,光复旧物,guang1 fu4 jiu4 wu4
508,光天化日,guang1 tian1 hua4 ri4
509,光宗耀祖,guang1 zong1 yao4 zu3
510,光彩夺目,guang1 cai3 duo2 mu4
511,光怪陆离,guang1 guai4 lu4 li2
512,光明磊落,guang1 ming2 lei3 luo4
513,光芒万丈,guang1 mang2 wan4 zhang4
514,光辉灿烂,guang1 hui1 can4 lan4
515,光阴荏苒,guang1 yin1 ren3 ran3
516,光风霁月,guang1 feng1 ji4 yue4
517,克勤克俭,ke4 qin2 ke4 jian3
518,克己奉公,ke4 ji3 feng4 gong1
519,克敌制胜,ke4 di2 zhi4 sheng4
520,兔丝燕麦,tu4 si1 yan4 mai4
521,兔死狗烹,tu4 si3 gou3 peng1
522,兔起鹘落,tu4 qi3 hu2 luo4
523,党同伐异,dang3 tong2 fa2 yi4
524,兢兢业业,jing1 jing1 ye4 ye4
525,入不敷出,ru4 bu4 fu1 chu1
526,入主出奴,ru4 zhu3 chu1 nu2
527,入情入理,ru4 qing2 ru4 li3
528,入木三分,ru4 mu4 san1 fen1
529,全军覆没,quan2 jun1 fu4 mo4
530,全力以赴,quan2 li4 yi3 fu4
531,全无心肝,quan2 wu2 xin1 gan1
532,全神贯注,quan2 shen2 guan4 zhu4
533,八仙过海,ba1 xian1 guo4 hai3
534,八抬大轿,ba1 tai2 da4 jiao4
535,八面玲珑,ba1 mian4 ling2 long2
